wals_code,iso_code,glottocode,Name,latitude,longitude,genus,family,macroarea,countrycodes,20A Fusion of Selected Inflectional Formatives,21A Exponence of Selected Inflectional Formatives,22A Inflectional Synthesis of the Verb,23A Locus of Marking in the Clause,24A Locus of Marking in Possessive Noun Phrases,25A Locus of Marking: Whole-language Typology,26A Prefixing vs. Suffixing in Inflectional Morphology,27A Reduplication,28A Case Syncretism,29A Syncretism in Verbal Person/Number Marking,25B Zero Marking of A and P Arguments,21B Exponence of Tense-Aspect-Mood Inflection
prs,pes,west2369,Persian,32,54,Iranian,Indo-European,Eurasia,IR,1 Exclusively concatenative,1 Monoexponential case,3 4-5 categories per word,3 Double marking,1 Head marking,5 Inconsistent or other,3 Weakly suffixing,1 Productive full and partial reduplication,1 No case marking,3 Not syncretic,2 Non-zero marking,1 monoexponential TAM
fre,fra,stan1290,French,48,2,Romance,Indo-European,Eurasia,FR CH,1 Exclusively concatenative,5 No case,3 4-5 categories per word,4 No marking,2 Dependent marking,5 Inconsistent or other,2 Strongly suffixing,3 No productive reduplication,3 Core and non-core,2 Syncretic,2 Non-zero marking,2 TAM+agreement
ita,ita,ital1282,Italian,43,12,Romance,Indo-European,Eurasia,CH IT,1 Exclusively concatenative,5 No case,,,,,2 Strongly suffixing,3 No productive reduplication,,,,
,lat,lati1261,Latin,41.9,12.45,Romance,Indo-European,Eurasia,VA,,,,,,,,,,,,
por,por,port1283,Portuguese,39,-8,Romance,Indo-European,Eurasia,PT,,,,,,,2 Strongly suffixing,3 No productive reduplication,,,,
rom,ron,roma1327,Romanian,46,25,Romance,Indo-European,Eurasia,RO,6 Ablaut/concatenative,2 Case + number,,2 Dependent marking,2 Dependent marking,2 Dependent-marking,2 Strongly suffixing,,3 Core and non-core,2 Syncretic,2 Non-zero marking,2 TAM+agreement
spa,spa,stan1288,Spanish,40,-4,Romance,Indo-European,Eurasia,ES,1 Exclusively concatenative,1 Monoexponential case,3 4-5 categories per word,3 Double marking,2 Dependent marking,5 Inconsistent or other,2 Strongly suffixing,3 No productive reduplication,3 Core and non-core,2 Syncretic,2 Non-zero marking,2 TAM+agreement
bul,bul,bulg1262,Bulgarian,42.5,25,Slavic,Indo-European,Eurasia,BG,,,,,,,2 Strongly suffixing,,,,,
cze,ces,czec1258,Czech,50,15,Slavic,Indo-European,Eurasia,CZ,,,,,,,3 Weakly suffixing,,,,,
scr,hrv,sout1528,Serbian-Croatian,44,19,Slavic,Indo-European,Eurasia,BA RS HR,,,,,,,2 Strongly suffixing,,,,,
pol,pol,poli1260,Polish,52,20,Slavic,Indo-European,Eurasia,PL,,,,,,,2 Strongly suffixing,,,,,
rus,rus,russ1263,Russian,56,38,Slavic,Indo-European,Eurasia,RU,1 Exclusively concatenative,2 Case + number,3 4-5 categories per word,2 Dependent marking,2 Dependent marking,2 Dependent-marking,2 Strongly suffixing,3 No productive reduplication,3 Core and non-core,3 Not syncretic,2 Non-zero marking,1 monoexponential TAM
svk,slk,slov1269,Slovak,49,20,Slavic,Indo-European,Eurasia,SK,,,,,,,,,,,,
slo,slv,slov1268,Slovene,46,15,Slavic,Indo-European,Eurasia,SI,,,,,,,2 Strongly suffixing,,,,,
ukr,ukr,ukra1253,Ukrainian,49,33,Slavic,Indo-European,Eurasia,UA,,,,,,,2 Strongly suffixing,,,,,
jpn,jpn,nucl1643,Japanese,37,140,Japanese,Japanese,Eurasia,JP,1 Exclusively concatenative,1 Monoexponential case,3 4-5 categories per word,2 Dependent marking,2 Dependent marking,2 Dependent-marking,2 Strongly suffixing,2 Full reduplication only,1 No case marking,1 No subject person/number marking,2 Non-zero marking,1 monoexponential TAM
kor,kor,kore1280,Korean,37.5,128,Korean,Korean,Eurasia,KR KP,1 Exclusively concatenative,1 Monoexponential case,4 6-7 categories per word,2 Dependent marking,2 Dependent marking,2 Dependent-marking,2 Strongly suffixing,1 Productive full and partial reduplication,1 No case marking,1 No subject person/number marking,2 Non-zero marking,1 monoexponential TAM
bok,bqc,boko1266,Boko,10.5,3.5,Eastern Mande,Mande,Africa,BJ NG,,,,,,,,,,,,
chj,cac,chuj1249,Chuj,15.91666667,-91.58333333,Mayan,Mayan,North America,GT,,,,,,,,,,,,
cak,cak,kaqc1270,Cakchiquel,14.5,-91,Mayan,Mayan,North America,GT,,,,,,,,,,,,
kek,kek,kekc1242,K'ekchí,16,-89.83333333,Mayan,Mayan,North America,GT,,,,,,,,,,,,
kea,kjb,qanj1241,Kanjobal (Eastern),15.33333333,-91.66666667,Mayan,Mayan,North America,GT,,,,,,,,,,,,
mam,mvc,mamc1234,Mam,15,-91.83333333,Mayan,Mayan,North America,GT,,5 No case,,1 Head marking,1 Head marking,1 Head-marking,5 Weakly prefixing,3 No productive reduplication,,,2 Non-zero marking,
pkm,poh,poqo1254,Pokomchí,15.41666667,-90.5,Mayan,Mayan,North America,GT,,,,,,,,,,,,
shn,sna,shon1251,Shona,-18,31,Bantoid,Niger-Congo,Africa,ZW,,,,,,,6 Strong prefixing,,,,,
xho,xho,xhos1239,Xhosa,-32,27,Bantoid,Niger-Congo,Africa,ZA,,,,,,,6 Strong prefixing,1 Productive full and partial reduplication,,,,
brb,bba,baat1238,Bariba,10,2.5,Gur,Niger-Congo,Africa,BJ NG,,,,,,,,,,,,
grn,gur,fare1241,Gurenne,10.83333333,-0.916666667,Gur,Niger-Congo,Africa,GH,,,,,,,,,,,,
,tbz,dita1238,Ditammari,10.16,1.18,Gur,Niger-Congo,Africa,BJ TG,,,,,,,,,,,,
tmp,tpm,tamp1252,Tampulma,10.41666667,-0.583333333,Gur,Niger-Congo,Africa,GH,,,,,,,,,,,,
hcr,hat,hait1244,Haitian Creole,19,-72.5,Creoles and Pidgins,other,North America,HT,2 Exclusively isolating,5 No case,1 0-1 category per word,4 No marking,4 No marking,4 Zero-marking,1 Little affixation,3 No productive reduplication,1 No case marking,1 No subject person/number marking,1 Zero-marking,1 monoexponential TAM
tpi,tpi,tokp1240,Tok Pisin,-9.5,147.1666667,Creoles and Pidgins,other,Papunesia,PG,,5 No case,2 2-3 categories per word,4 No marking,5 Other,5 Inconsistent or other,2 Strongly suffixing,,1 No case marking,1 No subject person/number marking,1 Zero-marking,1 monoexponential TAM
qhu,qub,hual1241,Quechua (Huallaga),-9.5,-75.5,Quechuan,Quechuan,South America,PE,1 Exclusively concatenative,1 Monoexponential case,,3 Double marking,3 Double marking,3 Double-marking,2 Strongly suffixing,,4 No syncretism,3 Not syncretic,2 Non-zero marking,
qco,quh,sout2991,Quechua (Cochabamba),-17.5,-66,Quechuan,Quechuan,South America,BO,,,,,,,,,,,,
qay,quy,ayac1239,Quechua (Ayacucho),-14,-74,Quechuan,Quechuan,South America,PE,1 Exclusively concatenative,1 Monoexponential case,,3 Double marking,3 Double marking,3 Double-marking,2 Strongly suffixing,1 Productive full and partial reduplication,4 No syncretism,3 Not syncretic,2 Non-zero marking,
qcu,quz,cusc1236,Quechua (Cuzco),-14.5,-71,Quechuan,Quechuan,South America,PE,,,,,,,,,,,,
brm,mya,nucl1310,Burmese,21,96,Burmese-Lolo,Sino-Tibetan,Eurasia,MM,1 Exclusively concatenative,1 Monoexponential case,2 2-3 categories per word,2 Dependent marking,2 Dependent marking,2 Dependent-marking,2 Strongly suffixing,2 Full reduplication only,1 No case marking,1 No subject person/number marking,2 Non-zero marking,1 monoexponential TAM
mnd,cmn,mand1415,Mandarin,34,110,Chinese,Sino-Tibetan,Eurasia,CN,7 Isolating/concatenative,1 Monoexponential case,1 0-1 category per word,2 Dependent marking,2 Dependent marking,2 Dependent-marking,2 Strongly suffixing,1 Productive full and partial reduplication,1 No case marking,1 No subject person/number marking,2 Non-zero marking,1 monoexponential TAM
